0.1985,0.008,0.004091824
0.17775,0.008,0.006568169
0.15723,0.008,0.008787639
0.13716,0.008,0.010734616
0.11776,0.008,0.012377098
0.09925,0.008,0.013672637
0.08182,0.008,0.014578499
0.06568,0.008,0.015057603
0.05099,0.008,0.015089575
0.03791,0.008,0.014672956
0.02659,0.008,0.013624707
0.01716,0.008,0.011811136
0.00972,0.008,0.009369748
0.00434,0.008,0.006626739
0.00109,0.008,0.003931595
0,0.008,0.0015
0.1985,0.17,0.004091824
0.17775,0.17,0.006568169
0.15723,0.17,0.008787639
0.13716,0.17,0.010734616
0.11776,0.17,0.012377098
0.09925,0.17,0.013672637
0.08182,0.17,0.014578499
0.06568,0.17,0.015057603
0.05099,0.17,0.015089575
0.03791,0.17,0.014672956
0.02659,0.17,0.013624707
0.01716,0.17,0.011811136
0.00972,0.17,0.009369748
0.00434,0.17,0.006626739
0.00109,0.17,0.003931595
0,0.17,0.0015
0.1985,0.332,0.004091824
0.17775,0.332,0.006568169
0.15723,0.332,0.008787639
0.13716,0.332,0.010734616
0.11776,0.332,0.012377098
0.09925,0.332,0.013672637
0.08182,0.332,0.014578499
0.06568,0.332,0.015057603
0.05099,0.332,0.015089575
0.03791,0.332,0.014672956
0.02659,0.332,0.013624707
0.01716,0.332,0.011811136
0.00972,0.332,0.009369748
0.00434,0.332,0.006626739
0.00109,0.332,0.003931595
0,0.332,0.0015
0.1985,0.477,0.004091824
0.17775,0.477,0.006568169
0.15723,0.477,0.008787639
0.13716,0.477,0.010734616
0.11776,0.477,0.012377098
0.09925,0.477,0.013672637
0.08182,0.477,0.014578499
0.06568,0.477,0.015057603
0.05099,0.477,0.015089575
0.03791,0.477,0.014672956
0.02659,0.477,0.013624707
0.01716,0.477,0.011811136
0.00972,0.477,0.009369748
0.00434,0.477,0.006626739
0.00109,0.477,0.003931595
0,0.477,0.0015
0.1985,0.598,0.004091824
0.17775,0.598,0.006568169
0.15723,0.598,0.008787639
0.13716,0.598,0.010734616
0.11776,0.598,0.012377098
0.09925,0.598,0.013672637
0.08182,0.598,0.014578499
0.06568,0.598,0.015057603
0.05099,0.598,0.015089575
0.03791,0.598,0.014672956
0.02659,0.598,0.013624707
0.01716,0.598,0.011811136
0.00972,0.598,0.009369748
0.00434,0.598,0.006626739
0.00109,0.598,0.003931595
0,0.598,0.0015
0.1985,0.69,0.004091824
0.17775,0.69,0.006568169
0.15723,0.69,0.008787639
0.13716,0.69,0.010734616
0.11776,0.69,0.012377098
0.09925,0.69,0.013672637
0.08182,0.69,0.014578499
0.06568,0.69,0.015057603
0.05099,0.69,0.015089575
0.03791,0.69,0.014672956
0.02659,0.69,0.013624707
0.01716,0.69,0.011811136
0.00972,0.69,0.009369748
0.00434,0.69,0.006626739
0.00109,0.69,0.003931595
0,0.69,0.0015
0.1985,0.746,0.004091824
0.17775,0.746,0.006568169
0.15723,0.746,0.008787639
0.13716,0.746,0.010734616
0.11776,0.746,0.012377098
0.09925,0.746,0.013672637
0.08182,0.746,0.014578499
0.06568,0.746,0.015057603
0.05099,0.746,0.015089575
0.03791,0.746,0.014672956
0.02659,0.746,0.013624707
0.01716,0.746,0.011811136
0.00972,0.746,0.009369748
0.00434,0.746,0.006626739
0.00109,0.746,0.003931595
0,0.746,0.0015
0.1985,0.761,0.004091824
0.17775,0.761,0.006568169
0.15723,0.761,0.008787639
0.13716,0.761,0.010734616
0.11776,0.761,0.012377098
0.09925,0.761,0.013672637
0.08182,0.761,0.014578499
0.06568,0.761,0.015057603
0.05099,0.761,0.015089575
0.03791,0.761,0.014672956
0.02659,0.761,0.013624707
0.01716,0.761,0.011811136
0.00972,0.761,0.009369748
0.00434,0.761,0.006626739
0.00109,0.761,0.003931595
0,0.761,0.0015
